symbol,timestamp,prob_up,pred_up,actual_up,close_now,next_close,trade_ret
DOGEUSDT,2025-05-12 02:00:00,0.4850351,0,1,0.24406,0.24744,-0.013849053511431592
DOGEUSDT,2025-05-12 03:00:00,0.4593329,0,1,0.24744,0.24769,-0.001010345942450696
DOGEUSDT,2025-05-12 04:00:00,0.4685458,0,1,0.24769,0.24883,-0.00460252735273932
DOGEUSDT,2025-05-12 05:00:00,0.47494608,0,0,0.24883,0.24227,0.02636338062130765
DOGEUSDT,2025-05-12 06:00:00,0.56652987,1,1,0.24227,0.24441,0.008833120072646118
DOGEUSDT,2025-05-12 07:00:00,0.51641613,0,0,0.24441,0.23997,0.018166196145820546
DOGEUSDT,2025-05-12 08:00:00,0.56800485,1,0,0.23997,0.23438,-0.023294578488977723
DOGEUSDT,2025-05-12 09:00:00,0.59849006,1,0,0.23438,0.23236,-0.00861848280570012
DOGEUSDT,2025-05-12 10:00:00,0.55396444,1,1,0.23236,0.23548,0.013427440179032466
DOGEUSDT,2025-05-12 11:00:00,0.56979865,1,0,0.23548,0.22987,-0.023823679293358265
DOGEUSDT,2025-05-12 12:00:00,0.6276502,1,0,0.22987,0.22439,-0.023839561491277615
DOGEUSDT,2025-05-12 13:00:00,0.70639765,1,1,0.22439,0.22733,0.013102188154552333
DOGEUSDT,2025-05-12 14:00:00,0.6025668,1,1,0.22733,0.22862,0.00567457000835783
DOGEUSDT,2025-05-12 15:00:00,0.57536596,1,1,0.22862,0.23038,0.007698364097629305
DOGEUSDT,2025-05-12 16:00:00,0.54698247,1,1,0.23038,0.23122,0.003646149839395813
DOGEUSDT,2025-05-12 17:00:00,0.56201416,1,0,0.23122,0.23101,-0.0009082259320128697
DOGEUSDT,2025-05-12 18:00:00,0.51099145,0,0,0.23101,0.22542,0.024198086662914956
DOGEUSDT,2025-05-12 19:00:00,0.66401315,1,0,0.22542,0.22429,-0.005012864874456658
DOGEUSDT,2025-05-12 20:00:00,0.65686834,1,0,0.22429,0.22101,-0.014623924383610404
DOGEUSDT,2025-05-12 21:00:00,0.65401965,1,0,0.22101,0.21845,-0.011583186281163779
DOGEUSDT,2025-05-12 22:00:00,0.6782026,1,1,0.21845,0.22327,0.022064545662622986
DOGEUSDT,2025-05-12 23:00:00,0.59138626,1,0,0.22327,0.22276,-0.002284229856227808
DOGEUSDT,2025-05-13 00:00:00,0.5781899,1,1,0.22276,0.22306,0.001346740887053307
DOGEUSDT,2025-05-13 01:00:00,0.5735518,1,1,0.22306,0.22414,0.004841746615260457
DOGEUSDT,2025-05-13 02:00:00,0.5150691,0,0,0.22414,0.22367,0.002096903720888722
DOGEUSDT,2025-05-13 03:00:00,0.5317207,1,1,0.22367,0.22765,0.017794071623373646
DOGEUSDT,2025-05-13 04:00:00,0.51261413,0,0,0.22765,0.22736,0.0012738853503184043
DOGEUSDT,2025-05-13 05:00:00,0.52199525,0,1,0.22736,0.22815,-0.003474665728360244
DOGEUSDT,2025-05-13 06:00:00,0.41898662,0,1,0.22815,0.229,-0.0037256191102345714
DOGEUSDT,2025-05-13 07:00:00,0.40307948,0,1,0.229,0.22904,-0.0001746724890829017
DOGEUSDT,2025-05-13 08:00:00,0.45660564,0,0,0.22904,0.22661,0.010609500523925898
DOGEUSDT,2025-05-13 09:00:00,0.5739655,1,1,0.22661,0.23305,0.028418869423238166
DOGEUSDT,2025-05-13 10:00:00,0.44405222,0,1,0.23305,0.23644,-0.014546234713580793
DOGEUSDT,2025-05-13 11:00:00,0.42204672,0,1,0.23644,0.2376,-0.004906107257655195
DOGEUSDT,2025-05-13 12:00:00,0.430123,0,1,0.2376,0.23942,-0.007659932659932611
DOGEUSDT,2025-05-13 13:00:00,0.43255857,0,0,0.23942,0.23896,0.0019213098320941785
DOGEUSDT,2025-05-13 14:00:00,0.46856245,0,1,0.23896,0.2394,-0.001841312353531955
DOGEUSDT,2025-05-13 15:00:00,0.49282408,0,1,0.2394,0.23949,-0.0003759398496240883
DOGEUSDT,2025-05-13 16:00:00,0.48468405,0,0,0.23949,0.23897,0.0021712806380225495
DOGEUSDT,2025-05-13 17:00:00,0.4977444,0,1,0.23897,0.24078,-0.007574172490270771
DOGEUSDT,2025-05-13 18:00:00,0.47792324,0,0,0.24078,0.23869,0.008680122933798409
DOGEUSDT,2025-05-13 19:00:00,0.4872252,0,0,0.23869,0.23831,0.0015920231262307562
DOGEUSDT,2025-05-13 20:00:00,0.48514548,0,0,0.23831,0.23776,0.002307918257731505
DOGEUSDT,2025-05-13 21:00:00,0.48736787,0,1,0.23776,0.23887,-0.0046685733512786
DOGEUSDT,2025-05-13 22:00:00,0.525534,0,1,0.23887,0.24169,-0.011805584627621674
DOGEUSDT,2025-05-13 23:00:00,0.48937136,0,1,0.24169,0.24572,-0.016674252141172602
DOGEUSDT,2025-05-14 00:00:00,0.42339113,0,0,0.24572,0.24239,0.013552010418362362
DOGEUSDT,2025-05-14 01:00:00,0.52824557,0,0,0.24239,0.23715,0.021618053550063927
DOGEUSDT,2025-05-14 02:00:00,0.5696057,1,0,0.23715,0.23333,-0.01610794855576635
DOGEUSDT,2025-05-14 03:00:00,0.64438653,1,1,0.23333,0.2356,0.00972871041014869
DOGEUSDT,2025-05-14 04:00:00,0.5467856,1,0,0.2356,0.23498,-0.002631578947368461
DOGEUSDT,2025-05-14 05:00:00,0.5558198,1,1,0.23498,0.23752,0.010809430589837495
DOGEUSDT,2025-05-14 06:00:00,0.5205328,0,0,0.23752,0.23617,0.005683731896261443
DOGEUSDT,2025-05-14 07:00:00,0.55889153,1,0,0.23617,0.23511,-0.004488292331794799
DOGEUSDT,2025-05-14 08:00:00,0.495224,0,0,0.23511,0.23156,0.015099315214155183
DOGEUSDT,2025-05-14 09:00:00,0.6435589,1,1,0.23156,0.233,0.006218690620141755
DOGEUSDT,2025-05-14 10:00:00,0.5421483,1,0,0.233,0.23205,-0.004077253218884147
DOGEUSDT,2025-05-14 11:00:00,0.59198916,1,1,0.23205,0.2325,0.001939237233354906
DOGEUSDT,2025-05-14 12:00:00,0.5639966,1,1,0.2325,0.23391,0.006064516129032234
DOGEUSDT,2025-05-14 13:00:00,0.53331864,1,1,0.23391,0.2343,0.0016673079389508847
DOGEUSDT,2025-05-14 14:00:00,0.52494025,0,0,0.2343,0.23331,0.004225352112676136
DOGEUSDT,2025-05-14 15:00:00,0.52707314,0,1,0.23331,0.23385,-0.002314517166002369
DOGEUSDT,2025-05-14 16:00:00,0.50835735,0,0,0.23385,0.23231,0.00658541800299343
DOGEUSDT,2025-05-14 17:00:00,0.55795485,1,1,0.23231,0.23278,0.0020231587103439292
DOGEUSDT,2025-05-14 18:00:00,0.5100355,0,1,0.23278,0.23586,-0.01323137726608815
DOGEUSDT,2025-05-14 19:00:00,0.4763844,0,0,0.23586,0.2288,0.029933011108284505
DOGEUSDT,2025-05-14 20:00:00,0.6252849,1,1,0.2288,0.23423,0.02373251748251744
DOGEUSDT,2025-05-14 21:00:00,0.49459323,0,0,0.23423,0.23202,0.009435170558852367
DOGEUSDT,2025-05-14 22:00:00,0.5654955,1,1,0.23202,0.23373,0.007370054305663259
DOGEUSDT,2025-05-14 23:00:00,0.5408385,1,0,0.23373,0.22836,-0.022975227826979788
DOGEUSDT,2025-05-15 00:00:00,0.57347596,1,0,0.22836,0.22783,-0.0023208968295673617
DOGEUSDT,2025-05-15 01:00:00,0.5460991,1,0,0.22783,0.22373,-0.0179958741166659
DOGEUSDT,2025-05-15 02:00:00,0.61447597,1,1,0.22373,0.22872,0.022303669601752087
DOGEUSDT,2025-05-15 03:00:00,0.4977092,0,0,0.22872,0.2254,0.014515564882826239
DOGEUSDT,2025-05-15 04:00:00,0.5756643,1,0,0.2254,0.2241,-0.005767524401064755
DOGEUSDT,2025-05-15 05:00:00,0.5814182,1,1,0.2241,0.22672,0.011691209281570778
DOGEUSDT,2025-05-15 06:00:00,0.5887853,1,1,0.22672,0.2273,0.00255822159491883
DOGEUSDT,2025-05-15 07:00:00,0.5183589,0,0,0.2273,0.22234,0.02182138143422786
DOGEUSDT,2025-05-15 08:00:00,0.59703594,1,0,0.22234,0.21849,-0.01731582261401466
DOGEUSDT,2025-05-15 09:00:00,0.63091016,1,1,0.21849,0.2252,0.03071078767907008
DOGEUSDT,2025-05-15 10:00:00,0.57550406,1,1,0.2252,0.22777,0.01141207815275306
DOGEUSDT,2025-05-15 11:00:00,0.4932615,0,0,0.22777,0.2267,0.004697721385608235
DOGEUSDT,2025-05-15 12:00:00,0.53455555,1,0,0.2267,0.22007,-0.029245699161888065
DOGEUSDT,2025-05-15 13:00:00,0.6290701,1,1,0.22007,0.22213,0.009360657972463337
DOGEUSDT,2025-05-15 14:00:00,0.61877686,1,0,0.22213,0.22112,-0.00454688695808753
DOGEUSDT,2025-05-15 15:00:00,0.62522316,1,0,0.22112,0.22002,-0.004974674384949428
DOGEUSDT,2025-05-15 16:00:00,0.56350935,1,0,0.22002,0.21911,-0.004135987637487475
DOGEUSDT,2025-05-15 17:00:00,0.6031426,1,1,0.21911,0.21939,0.001277896946739092
DOGEUSDT,2025-05-15 18:00:00,0.5340573,1,1,0.21939,0.22082,0.006518072838324385
DOGEUSDT,2025-05-15 19:00:00,0.5572175,1,1,0.22082,0.22282,0.009057150620414825
DOGEUSDT,2025-05-15 20:00:00,0.48641104,0,1,0.22282,0.22526,-0.010950543039224476
DOGEUSDT,2025-05-15 21:00:00,0.4661308,0,1,0.22526,0.22619,-0.004128562549942352
DOGEUSDT,2025-05-15 22:00:00,0.4696137,0,0,0.22619,0.22536,0.0036694814094345345
DOGEUSDT,2025-05-15 23:00:00,0.51004666,0,1,0.22536,0.22627,-0.004037983670571504
DOGEUSDT,2025-05-16 00:00:00,0.51322126,0,1,0.22627,0.22653,-0.0011490696954965759
DOGEUSDT,2025-05-16 01:00:00,0.5230629,0,0,0.22653,0.2258,0.00322253123206643
DOGEUSDT,2025-05-16 02:00:00,0.50470406,0,0,0.2258,0.22356,0.009920283436669584
DOGEUSDT,2025-05-16 03:00:00,0.52861863,0,1,0.22356,0.22884,-0.023617820719269902
DOGEUSDT,2025-05-16 04:00:00,0.42893273,0,1,0.22884,0.22968,-0.003670686942842193
